unit	path	bytes	target_bytes	kind
skill-rtfm-testing	.claude/skills/rtfm-testing/SKILL.md	17170	16384	skill
skill-bug-triaging	.claude/skills/bug-triaging/SKILL.md	19376	16384	skill
skill-translating-for-executives	.claude/skills/translating-for-executives/SKILL.md	21787	16384	skill
skill-planning-sprints	.claude/skills/planning-sprints/SKILL.md	21902	16384	skill
skill-simstim-workflow	.claude/skills/simstim-workflow/SKILL.md	26152	16384	skill
skill-riding-codebase	.claude/skills/riding-codebase/SKILL.md	28130	16384	skill
skill-autonomous-agent	.claude/skills/autonomous-agent/SKILL.md	28517	16384	skill
skill-discovering-requirements	.claude/skills/discovering-requirements/SKILL.md	28610	16384	skill
skill-deploying-infrastructure	.claude/skills/deploying-infrastructure/SKILL.md	29313	16384	skill
skill-auditing-security	.claude/skills/auditing-security/SKILL.md	32538	16384	skill
skill-reviewing-code	.claude/skills/reviewing-code/SKILL.md	32398	16384	skill
skill-implementing-tasks	.claude/skills/implementing-tasks/SKILL.md	32076	16384	skill
skill-run-mode	.claude/skills/run-mode/SKILL.md	32958	16384	skill
claude-loa	.claude/loa/CLAUDE.loa.md	22005	10240	claude-loa
protocol-agent-ergonomics	.claude/protocols/agent-ergonomics.md	1822	1275	protocol
protocol-beads-integration	.claude/protocols/beads-integration.md	10467	7326	protocol
protocol-beads-preflight	.claude/protocols/beads-preflight.md	9513	6659	protocol
protocol-change-validation	.claude/protocols/change-validation.md	5224	3656	protocol
protocol-citations	.claude/protocols/citations.md	13399	9379	protocol
protocol-constructs-integration	.claude/protocols/constructs-integration.md	14434	10103	protocol
protocol-continuous-learning	.claude/protocols/continuous-learning.md	13905	9733	protocol
protocol-cross-platform-shell	.claude/protocols/cross-platform-shell.md	10956	7669	protocol
protocol-danger-level	.claude/protocols/danger-level.md	9985	6989	protocol
protocol-feedback-loops	.claude/protocols/feedback-loops.md	6906	4834	protocol
protocol-flatline-protocol	.claude/protocols/flatline-protocol.md	11370	7959	protocol
protocol-git-safety	.claude/protocols/git-safety.md	7783	5448	protocol
protocol-grounding-enforcement	.claude/protocols/grounding-enforcement.md	12309	8616	protocol
protocol-helper-scripts	.claude/protocols/helper-scripts.md	17228	12059	protocol
protocol-implementation-compliance	.claude/protocols/implementation-compliance.md	2266	1586	protocol
protocol-input-guardrails	.claude/protocols/input-guardrails.md	8075	5652	protocol
protocol-karpathy-principles	.claude/protocols/karpathy-principles.md	1858	1300	protocol
protocol-recommended-hooks	.claude/protocols/recommended-hooks.md	11628	8139	protocol
protocol-ride-translation	.claude/protocols/ride-translation.md	8426	5898	protocol
protocol-risk-analysis	.claude/protocols/risk-analysis.md	6946	archive	protocol
protocol-safe-file-creation	.claude/protocols/safe-file-creation.md	6396	4477	protocol
protocol-session-continuity	.claude/protocols/session-continuity.md	24138	16896	protocol
protocol-sprint-completion	.claude/protocols/sprint-completion.md	5151	archive	protocol
protocol-structured-memory	.claude/protocols/structured-memory.md	2446	1712	protocol
protocol-subagent-invocation	.claude/protocols/subagent-invocation.md	6733	4713	protocol
protocol-synthesis-checkpoint	.claude/protocols/synthesis-checkpoint.md	15562	10893	protocol
protocol-tool-result-clearing	.claude/protocols/tool-result-clearing.md	2466	1726	protocol
protocol-trajectory-evaluation	.claude/protocols/trajectory-evaluation.md	18853	13197	protocol
protocol-upgrade-process	.claude/protocols/upgrade-process.md	6487	archive	protocol
protocol-visual-communication	.claude/protocols/visual-communication.md	8276	5793	protocol
persona-flatline-reviewer	.claude/skills/flatline-reviewer/persona.md	2892	2892	persona
persona-flatline-skeptic	.claude/skills/flatline-skeptic/persona.md	2663	2663	persona
persona-flatline-scorer	.claude/skills/flatline-scorer/persona.md	1788	1788	persona
persona-flatline-attacker	.claude/skills/flatline-attacker/persona.md	6226	6226	persona
persona-gpt-reviewer	.claude/skills/gpt-reviewer/persona.md	2564	2564	persona
